model,fault_category,precision,recall,f1_score,support
Logistic Regression,brake_system_fault,0.9077306733167082,0.9032258064516129,0.9054726368159204,403
Logistic Regression,cooling_system_fault,0.6176470588235294,0.65625,0.6363636363636364,32
Logistic Regression,drivetrain_fault,0.6921052631578948,0.654228855721393,0.6726342710997443,402
Logistic Regression,electrical_system_fault,0.7564402810304449,0.7995049504950495,0.7773766546329723,404
Logistic Regression,engine_system_fault,0.7837837837837838,0.7876543209876543,0.7857142857142857,405
Logistic Regression,fuel_system_fault,0.8804347826086957,0.8079800498753117,0.8426527958387516,401
Logistic Regression,steering_system_fault,0.9361179361179361,0.9525,0.9442379182156134,400
Logistic Regression,transmission_fault,0.5436507936507936,0.6618357487922706,0.5969498910675382,207
Logistic Regression,wheel_tire_fault,0.9497354497354498,0.8975,0.922879177377892,400
Linear SVM,brake_system_fault,0.8888888888888888,0.913151364764268,0.9008567931456548,403
Linear SVM,cooling_system_fault,0.6923076923076923,0.5625,0.6206896551724138,32
Linear SVM,drivetrain_fault,0.6715686274509803,0.681592039800995,0.6765432098765433,402
Linear SVM,electrical_system_fault,0.8015075376884422,0.7896039603960396,0.7955112219451371,404
Linear SVM,engine_system_fault,0.7837837837837838,0.7876543209876543,0.7857142857142857,405
Linear SVM,fuel_system_fault,0.8682170542635659,0.8379052369077307,0.8527918781725888,401
Linear SVM,steering_system_fault,0.9254807692307693,0.9625,0.9436274509803921,400
Linear SVM,transmission_fault,0.6183574879227053,0.6183574879227053,0.6183574879227053,207
Linear SVM,wheel_tire_fault,0.9335038363171355,0.9125,0.922882427307206,400
